voice_mail_plan,voice_mail_messages,international_mins,customer_service_calls,international_plan,international_calls,international_charge,total_charge,churn
1,31,7.5,1,0,3,2.03,60.1,0
0,0,10.9,1,0,3,2.94,69.71,0
1,38,12.8,1,0,4,3.46,53.58,0
0,0,6.3,0,0,2,1.7,63.81,0
0,0,13.2,1,0,2,3.56,67.25,0
1,27,10.6,2,0,5,2.86,55.65,0
0,0,10.5,3,0,4,2.84,53.2,0
0,0,14.1,1,0,2,3.81,47.09,0
0,0,6.1,0,0,5,1.65,62.62,0
0,0,11.1,2,0,7,3,68,0
0,0,12.2,0,0,3,3.29,53.26,0
0,0,11.5,2,0,3,3.11,65.75,0
0,0,16.2,3,0,10,4.37,59.73,0
1,23,9.5,4,1,5,2.57,67.01,0
1,36,9.9,2,0,12,2.67,50.17,0
0,0,14.6,2,0,7,3.94,66.83,0
0,0,10.8,1,0,13,2.92,73.02,0
0,0,10.2,1,0,4,2.75,44.13,0
0,0,10.9,2,0,3,2.94,72.09,0
0,0,9,1,0,3,2.43,52.02,0
0,0,9.1,1,0,3,2.46,68.3,0
0,0,8.9,0,0,4,2.4,45.54,0
0,0,9.5,1,0,2,2.57,51.06,0
0,0,8.8,2,0,4,2.38,64.01,0
0,0,13.4,0,0,2,3.62,51.02,0
1,23,9.5,1,0,4,2.57,71.31,0
1,23,6.8,1,0,6,1.84,58.69,0
0,0,9.7,0,0,8,2.62,55.33,0
0,0,13,0,0,3,3.51,43.73,0
1,24,13.1,3,0,5,3.54,58.3,0
0,0,11.2,2,0,1,3.02,72.94,0
0,0,6.4,3,0,8,1.73,65.25,0
0,0,6.8,2,0,3,1.84,50.68,0
0,0,9.4,1,0,4,2.54,59.3,0
1,36,12.1,1,0,2,3.27,47.81,0
0,0,13.7,2,0,8,3.7,60.37,0
0,0,10.8,3,0,5,2.92,61.89,0
0,0,12.2,3,0,5,3.29,64.26,0
0,0,15.8,3,0,7,4.27,72.33,0
0,0,11.6,1,0,10,3.13,65.82,0
0,0,11.9,0,1,11,3.21,67.6,0
1,24,10.7,1,0,3,2.89,55.56,0
1,31,12.2,1,0,6,3.29,52.5,0
0,0,11.5,3,0,6,3.11,58.9,0
0,0,10.9,0,0,3,2.94,52.28,0
0,0,4.7,3,0,7,1.27,62.87,0
0,0,7.1,0,0,12,1.92,57.68,0
0,0,12.2,3,0,6,3.29,57.02,0
1,22,10.2,1,0,6,2.75,56.82,0
0,0,4.4,1,0,2,1.19,57.44,0
0,0,8.9,2,0,6,2.4,56.21,0
0,0,13.8,2,0,1,3.73,39.77,0
0,0,2.7,1,0,4,0.73,68.19,0
0,0,7.7,3,0,2,2.08,68.02,0
1,27,9.6,2,0,3,2.59,53.8,0
1,23,13.3,4,0,3,3.59,76.12,0
1,22,11.9,0,0,3,3.21,70.6,0
1,36,11,1,1,6,2.97,70.45,0
0,0,13.5,3,0,2,3.65,64.77,0
0,0,10.9,0,0,2,2.94,57.31,0
0,0,9,1,1,5,2.43,62.78,0
1,40,9,2,0,9,2.43,57.54,0
0,0,9.8,3,0,7,2.65,41.04,0
0,0,10.7,0,0,9,2.89,37.58,0
0,0,9.4,1,0,6,2.54,55.83,0
0,0,12.9,0,0,5,3.48,57.21,0
0,0,8.4,1,0,2,2.27,73.26,0
0,0,7.1,3,0,2,1.92,63.95,0
0,0,9.5,0,0,5,2.57,44.57,0
0,0,10.2,0,0,5,2.75,64.74,0
0,0,9.2,4,0,2,2.48,61.66,0
1,23,11.8,2,0,4,3.19,63.28,0
0,0,14.4,4,0,7,3.89,62.48,0
0,0,9.1,3,0,8,2.46,65.21,0
1,41,9.5,0,0,3,2.57,53.01,0
0,0,10.9,0,1,3,2.94,58.6,0
1,32,14.1,4,0,8,3.81,58.2,0
0,0,9.8,1,0,3,2.65,51.28,0
0,0,14.5,1,0,8,3.92,48.26,0
0,0,8.7,1,0,4,2.35,56.35,0
1,25,6.7,1,0,9,1.81,58.03,0
0,0,15.4,1,0,1,4.16,49.27,0
0,0,11.5,1,0,3,3.11,53.76,0
0,0,12.5,1,0,1,3.38,61.64,0
0,0,8.3,2,0,6,2.24,69.98,0
1,30,11.4,1,0,6,3.08,73.35,0
1,28,8.4,4,0,9,2.27,67.53,0
0,0,13.5,3,0,6,3.65,53.53,0
0,0,9.9,2,1,3,2.67,53.1,0
0,0,14.6,0,0,3,3.94,69.43,0
0,0,7.7,1,0,3,2.08,49.32,0
1,28,8,3,0,13,2.16,67.88,0
0,0,13,3,0,3,3.51,65.35,0
1,28,10,1,0,3,2.7,55.71,0
0,0,9.8,3,0,5,2.65,65.5,0
0,0,11.1,0,1,4,3,67.04,0
1,25,10.9,2,0,6,2.94,66.34,0
0,0,10.5,3,1,6,2.84,66.23,0
0,0,13,2,0,4,3.51,56.06,0
0,0,10.4,2,0,6,2.81,63.17,0
1,37,12.2,1,0,1,3.29,59.35,0
1,28,9,1,0,2,2.43,75.42,0
0,0,6.7,3,0,5,1.81,63.54,0
1,24,15.6,2,0,3,4.21,55.56,0
0,0,8.8,2,0,5,2.38,57.1,0
0,0,14.5,2,0,4,3.92,69.76,0
0,0,14.1,0,0,5,3.81,61.83,0
1,34,8,0,0,2,2.16,73.48,0
0,0,9.7,0,0,3,2.62,36.14,0
0,0,5.9,1,0,4,1.59,54.79,0
1,18,9.8,1,0,3,2.65,55.03,0
0,0,9.5,1,0,5,2.57,62.33,0
0,0,10.1,2,0,5,2.73,44.76,0
0,0,11.9,0,0,1,3.21,56.49,0
0,0,6.6,4,0,9,1.78,66.33,0
0,0,6.6,1,0,5,1.78,62.58,0
0,0,11.9,2,0,4,3.21,50.57,0
0,0,9.1,1,0,4,2.46,65.03,0
0,0,10.3,1,0,10,2.78,49.61,0
0,0,9.1,2,0,5,2.46,71.24,0
0,0,11.4,0,0,2,3.08,60.56,0
0,0,8.9,3,0,4,2.4,71.24,0
1,38,9.7,1,0,6,2.62,67.7,0
0,0,10.9,0,0,3,2.94,62.2,0
0,0,9.8,0,0,4,2.65,51.71,0
0,0,18.9,0,0,2,5.1,55.29,0
1,28,7.7,2,0,4,2.08,52.85,0
1,29,7.6,3,0,3,2.05,50.55,0
1,21,5,3,0,5,1.35,71.16,0
0,0,6.2,0,0,3,1.67,66.6,0
1,32,12.9,1,0,3,3.48,50.33,0
0,0,10,0,0,3,2.7,58.69,0
0,0,11.3,1,0,4,3.05,50,0
0,0,13.4,3,0,5,3.62,63.01,0
1,30,7.1,0,0,3,1.92,37.43,0
1,35,11.4,1,0,4,3.08,41.42,0
1,33,9.5,1,0,4,2.57,70.28,0
0,0,12.5,0,0,3,3.38,64.02,0
0,0,14.4,0,0,12,3.89,62.81,0
0,0,7.9,3,0,2,2.13,67.25,0
0,0,9.3,0,0,4,2.51,63.07,0
0,0,7.5,1,0,4,2.03,59.73,0
1,17,8.6,1,0,4,2.32,58.2,0
0,0,10.6,0,0,2,2.86,62.36,0
0,0,7,2,0,7,1.89,63.53,0
0,0,7.6,2,0,3,2.05,74.02,0
0,0,14.6,0,0,2,3.94,67.04,0
0,0,10.8,1,0,11,2.92,68.31,0
1,34,14,0,0,7,3.78,65.48,0
1,37,13.3,1,0,3,3.59,44.43,0
0,0,7.2,3,0,8,1.94,67.48,0
1,33,12.2,1,0,5,3.29,52.98,0
0,0,10.5,1,0,11,2.84,61.93,0
1,41,13.1,3,0,5,3.54,49.58,0
0,0,11.3,4,0,8,3.05,61.83,0
0,0,5.3,1,0,3,1.43,46.7,0
0,0,14.7,2,0,9,3.97,61.44,0
0,0,12.7,1,0,2,3.43,48.03,0
0,0,11.3,1,1,4,3.05,69.95,0
1,23,8.5,2,0,2,2.3,49.94,0
1,29,5.8,1,0,4,1.57,57.62,0
0,0,11.3,0,0,6,3.05,50.86,0
1,36,12,1,0,5,3.24,57.07,0
0,0,11.3,2,0,3,3.05,64.85,0
0,0,10.9,0,0,2,2.94,57.33,0
0,0,9.1,4,0,3,2.46,63.56,0
0,0,18,1,0,3,4.86,51.17,0
0,0,7.6,1,0,5,2.05,42.57,0
0,0,16,0,0,2,4.32,67.75,0
0,0,10.3,1,0,6,2.78,65.42,0
0,0,10.6,2,0,6,2.86,65.43,0
0,0,14.8,2,0,2,4,59.09,0
0,0,9.2,2,0,6,2.48,63.31,0
1,21,10.6,0,0,5,2.86,60.59,0
0,0,11.2,2,0,7,3.02,50.52,0
0,0,6.7,1,0,18,1.81,65.18,0
0,0,6.8,2,0,4,1.84,63.56,0
0,0,14.7,3,0,2,3.97,71.21,0
0,0,14.7,1,0,4,3.97,53.75,0
0,0,5.7,0,1,4,1.54,55.05,0
0,0,7.2,2,0,4,1.94,58.52,0
0,0,10.7,4,0,7,2.89,69.96,0
0,0,8.9,3,0,1,2.4,65.09,0
0,0,8.5,1,0,5,2.3,61.22,0
0,0,10.7,1,0,3,2.89,49.87,0
0,0,10.2,3,0,6,2.75,57.27,0
0,0,11.1,1,0,2,3,62.01,0
0,0,8.7,0,0,3,2.35,51.84,0
0,0,12.4,5,0,5,3.35,63.92,0
0,0,9.4,2,0,3,2.54,65.25,0
0,0,7.8,0,0,4,2.11,51.77,0
0,0,8.5,1,0,4,2.3,52.66,0
1,31,12,1,0,1,3.24,52.62,0
0,0,10.6,0,0,3,2.86,60.67,0
1,26,9.9,1,0,2,2.67,51.23,0
0,0,11.2,1,0,6,3.02,62,0
0,0,7.5,4,0,3,2.03,62.84,0
0,0,9.3,0,1,5,2.51,70.06,0
0,0,6.8,0,0,7,1.84,47.11,0
0,0,10.3,1,1,3,2.78,51.86,0
0,0,4.8,2,0,4,1.3,57.51,0
0,0,8.4,2,0,5,2.27,53.81,0
0,0,10.4,2,0,6,2.81,43.66,0
0,0,5.4,0,0,1,1.46,73.83,0
0,0,7,3,0,5,1.89,70.93,0
0,0,10,0,0,3,2.7,51.93,0
0,0,9.8,0,0,2,2.65,67.72,0
1,34,16,1,0,6,4.32,55.84,0
0,0,7.5,2,0,6,2.03,70.69,0
1,28,9.3,2,0,11,2.51,67.88,0
0,0,15.3,1,0,1,4.13,66.76,0
0,0,12.5,0,0,3,3.38,70.97,0
1,45,10.3,3,0,2,2.78,68.87,0
1,16,11.3,1,0,3,3.05,60.79,0
0,0,10.9,1,1,4,2.94,60.73,0
0,0,12.5,1,0,7,3.38,41.94,0
1,40,9.6,1,0,9,2.59,48.59,0
0,0,11.2,3,0,5,3.02,58.61,0
0,0,12.4,2,0,7,3.35,56.53,0
0,0,11.4,1,0,4,3.08,65.56,0
0,0,12.8,1,0,2,3.46,71.98,0
0,0,11.8,2,0,5,3.19,51.44,0
1,31,8.6,0,0,3,2.32,77.86,0
1,29,11.2,1,0,3,3.02,61.39,0
0,0,8,1,0,3,2.16,69.78,0
0,0,13.5,1,0,3,3.65,66.62,0
0,0,6.3,2,0,2,1.7,53.53,0
1,27,12.3,1,0,6,3.32,73.95,0
0,0,12.4,0,0,4,3.35,58.89,0
1,29,6.8,1,0,3,1.84,49.19,0
0,0,12.6,1,0,5,3.4,68.27,0
0,0,9.6,2,1,7,2.59,63.08,0
0,0,11.1,0,0,6,3,44.35,0
0,0,9.6,3,0,4,2.59,54.22,0
0,0,6.9,2,0,5,1.86,70.7,0
0,0,12.2,1,0,3,3.29,45.18,0
1,21,6.3,4,0,3,1.7,71.67,0
0,0,12.5,0,0,5,3.38,57.27,0
1,23,9.8,0,0,2,2.65,72.99,0
0,0,8.3,0,0,3,2.24,60.12,0
1,20,14.3,1,0,9,3.86,69.54,0
0,0,9.3,2,0,2,2.51,44.6,0
0,0,9.7,2,0,7,2.62,57.44,0
1,28,6,3,0,3,1.62,60.84,0
0,0,11,0,0,3,2.97,51.4,0
0,0,9.6,1,0,5,2.59,72,0
0,0,9.6,3,0,9,2.59,60.63,0
1,18,10.1,1,0,5,2.73,39.39,0
0,0,5.9,0,0,2,1.59,53.54,0
1,23,8.5,0,0,5,2.3,66.18,0
0,0,11.6,1,0,4,3.13,60.74,0
1,32,11.1,3,0,5,3,40.24,0
1,34,17.2,2,0,9,4.64,66.57,0
0,0,10.6,1,0,2,2.86,68.53,0
0,0,9.5,3,0,6,2.57,44.38,0
0,0,6.3,1,0,3,1.7,33.22,0
1,20,14.8,0,0,12,4,67.79,0
0,0,9.9,3,0,6,2.67,53.38,0
0,0,11.7,1,0,5,3.16,70.89,0
1,23,7.6,3,0,2,2.05,51.22,0
0,0,8.1,1,0,2,2.19,54.89,0
0,0,11.2,2,0,4,3.02,61.05,0
0,0,11.6,1,0,6,3.13,60.59,0
0,0,5.3,1,0,3,1.43,54.54,0
0,0,8.1,0,0,4,2.19,55,0
0,0,13.3,2,0,13,3.59,60.41,0
0,0,11,3,0,2,2.97,70.5,0
1,16,6.7,0,0,2,1.81,44.38,0
0,0,12.8,0,1,3,3.46,68.66,0
0,0,10.5,0,0,2,2.84,73.41,0
0,0,12.3,1,0,4,3.32,56.86,0
0,0,12.8,0,0,7,3.46,73.03,0
1,33,5.9,2,0,2,1.59,57.46,0
0,0,8.2,1,0,4,2.21,69.74,0
0,0,11.1,2,1,9,3,52.95,0
1,36,8,2,0,4,2.16,53.43,0
0,0,11.9,2,0,3,3.21,65.94,0
0,0,7.5,1,0,2,2.03,55.99,0
1,23,12.6,3,0,7,3.4,49.83,0
1,28,7.5,1,0,5,2.03,75.24,0
1,26,9.3,0,1,3,2.51,64.43,0
0,0,12.4,0,0,12,3.35,63.45,0
0,0,11.1,1,0,5,3,52.57,0
1,31,11.4,2,0,5,3.08,57.77,0
1,24,11.6,1,0,5,3.13,64.29,0
1,17,12.3,1,0,3,3.32,50.88,0
0,0,14.8,3,0,8,4,68.03,0
0,0,9.1,2,0,8,2.46,60.09,0
1,30,6.6,0,0,3,1.78,67.13,0
1,14,17.5,1,0,5,4.73,43.63,0
0,0,7.6,2,0,1,2.05,53.06,0
0,0,9.4,2,0,4,2.54,58.07,0
0,0,12.9,1,0,3,3.48,58.8,0
0,0,9,3,0,3,2.43,55.1,0
0,0,11.6,1,0,2,3.13,66.59,0
1,27,9.2,7,0,5,2.48,73.66,0
0,0,9.8,2,0,6,2.65,30.04,0
0,0,13,1,0,6,3.51,60.47,0
0,0,10.5,2,0,8,2.84,32.5,0
0,0,12.5,0,0,3,3.38,66.18,0
0,0,8.6,2,0,4,2.32,45.88,0
1,37,7.8,2,0,4,2.11,57.61,0
0,0,6.7,2,0,3,1.81,58.64,0
1,38,10.7,2,0,5,2.89,70.08,0
1,40,14,1,0,6,3.78,54.12,0
1,22,8.5,0,0,3,2.3,51.61,0
0,0,12.4,0,0,8,3.35,66.5,0
0,0,9.9,2,0,3,2.67,49.2,0
1,28,7.8,1,0,2,2.11,45.52,0
1,29,6.6,0,0,1,1.78,57.28,0
0,0,3.5,3,0,6,0.95,67.84,0
1,27,11.9,1,0,3,3.21,58.45,0
1,31,10.1,4,0,5,2.73,69.37,0
0,0,11.5,2,0,2,3.11,63.59,0
0,0,12.7,2,0,6,3.43,57.46,0
1,25,13.1,2,0,2,3.54,54.71,0
0,0,12,0,0,4,3.24,66.39,0
1,20,9.5,1,0,2,2.57,64.45,0
0,0,7.7,2,0,6,2.08,49.98,0
0,0,10.7,1,0,1,2.89,61.37,0
1,18,7.2,0,0,7,1.94,61.29,0
1,28,9.1,1,0,5,2.46,66.81,0
0,0,10.9,1,0,5,2.94,46.44,0
1,29,8,2,0,1,2.16,73.46,0
0,0,4.7,3,0,4,1.27,58.75,0
1,37,11.3,2,0,5,3.05,57.97,0
0,0,3.6,2,1,7,0.97,60.31,0
0,0,10,2,0,6,2.7,72.64,0
0,0,10.3,1,0,2,2.78,58.8,0
0,0,10.8,1,1,3,2.92,43.13,0
1,31,9,3,0,1,2.43,69.93,0
1,36,14.2,1,0,2,3.83,81.8,0
0,0,13.7,3,0,6,3.7,67.09,0
0,0,11.7,2,0,4,3.16,50.23,0
1,30,7.7,1,0,3,2.08,59.33,0
1,21,16.5,1,0,4,4.46,73.1,0
1,25,10.2,3,0,3,2.75,63.05,0
0,0,10.7,1,0,8,2.89,51.61,0
0,0,10.3,1,0,2,2.78,58.8,0
0,0,10.2,1,0,5,2.75,35.18,0
0,0,8.4,1,1,4,2.27,67.01,0
0,0,7.4,1,0,8,2,43.91,0
1,14,8.6,1,0,2,2.32,40.09,0
0,0,11.3,2,0,4,3.05,72.89,0
0,0,12.9,1,0,2,3.48,50.74,0
0,0,9.6,2,0,1,2.59,49.82,0
1,29,9.5,2,0,5,2.57,67.01,0
0,0,12.5,2,0,6,3.38,64.25,0
0,0,9.6,3,0,4,2.59,49.18,0
0,0,9.1,2,0,5,2.46,49.04,0
0,0,12.3,1,0,5,3.32,52.16,0
1,46,9.2,0,0,6,2.48,67.07,0
0,0,9.1,2,0,4,2.46,48.48,0
0,0,4.6,1,0,4,1.24,56.29,0
0,0,11.6,3,0,6,3.13,46.47,0
0,0,11.4,1,0,7,3.08,58.74,0
0,0,13.1,0,0,8,3.54,57.67,0
1,29,6.6,1,0,8,1.78,46.86,0
0,0,10.6,0,0,5,2.86,65.32,0
0,0,8.7,3,0,3,2.35,56.77,0
0,0,11.6,3,0,7,3.13,67.45,0
0,0,12.7,1,0,3,3.43,62.93,0
0,0,7.7,4,0,6,2.08,57.32,0
1,37,7.3,2,0,1,1.97,70.11,0
1,43,8,1,0,5,2.16,58.91,0
0,0,14,3,0,6,3.78,59.41,0
0,0,11.6,1,0,6,3.13,55.92,0
0,0,12.8,1,0,4,3.46,64.54,0
0,0,11.5,1,0,3,3.11,43.21,0
1,33,10.6,2,0,3,2.86,56.42,0
0,0,7.1,3,0,1,1.92,62.94,0
0,0,5.1,0,0,2,1.38,58.78,0
0,0,13.8,3,0,4,3.73,54.02,0
0,0,7.4,4,0,2,2,70.43,0
0,0,6.5,1,0,5,1.76,46.26,0
0,0,13.9,0,0,4,3.75,61.53,0
0,0,9.5,0,0,2,2.57,47.97,0
1,22,4.8,3,0,4,1.3,48.07,0
1,34,15.6,2,0,4,4.21,46.62,0
0,0,10.8,2,0,6,2.92,66.03,0
1,27,10.2,5,0,7,2.75,56.88,0
0,0,9.2,1,0,15,2.48,52.48,0
1,19,7.5,0,0,3,2.03,54.17,0
1,31,12.9,1,0,1,3.48,72.8,0
0,0,11.4,0,0,2,3.08,45.81,0
0,0,7.9,2,0,4,2.13,53.62,0
0,0,9.8,1,0,3,2.65,57,0
0,0,11,0,0,13,2.97,62.14,0
0,0,15.6,0,0,7,4.21,73.88,0
1,24,14,1,0,4,3.78,67.08,0
1,22,8.5,3,0,4,2.3,67.54,0
1,28,15.4,0,0,9,4.16,71.24,0
0,0,7.5,1,0,5,2.03,52.52,0
0,0,11.5,2,0,4,3.11,69.65,0
0,0,9.5,1,0,6,2.57,64.36,0
1,39,9.2,3,0,1,2.48,57.47,0
1,22,8.5,3,0,3,2.3,65.3,0
1,31,10.5,1,0,5,2.84,58.74,0
0,0,9.3,0,0,4,2.51,59.14,0
0,0,9.3,2,0,2,2.51,58.89,0
0,0,9.9,0,0,7,2.67,47.91,0
0,0,8.3,1,0,2,2.24,45.77,0
1,31,12,1,0,4,3.24,74.3,0
0,0,12.3,0,0,2,3.32,71.08,0
0,0,7.4,3,0,4,2,50.08,0
0,0,7.8,1,0,4,2.11,62.01,0
1,22,9.2,2,0,4,2.48,64.6,0
0,0,9.6,2,0,1,2.59,65.03,0
0,0,9.2,0,0,3,2.48,51.66,0
0,0,12.3,1,0,1,3.32,67.97,0
1,33,15.5,0,0,4,4.19,63.5,0
1,26,16.3,1,0,4,4.4,79.07,0
0,0,11.8,0,0,5,3.19,52.47,0
0,0,11.2,3,0,3,3.02,54.95,0
0,0,7.5,1,0,15,2.03,60.4,0
0,0,5.9,1,0,3,1.59,65.63,0
0,0,10.6,0,0,4,2.86,60.61,0
0,0,9.4,1,0,4,2.54,64.83,0
0,0,8.9,0,0,4,2.4,59.05,0
0,0,13.1,1,0,2,3.54,61.15,0
0,0,9.3,0,0,5,2.51,48.42,0
1,38,11.4,3,0,3,3.08,65.05,0
0,0,6.5,1,0,1,1.76,58.46,0
0,0,11.1,3,0,8,3,49.05,0
1,32,8.6,1,0,7,2.32,33.86,0
0,0,10.1,3,0,2,2.73,65.84,0
0,0,12.6,1,0,8,3.4,61.97,0
0,0,8.2,1,0,2,2.21,66.3,0
0,0,14.9,2,0,3,4.02,63.61,0
0,0,10.2,1,0,4,2.75,51.93,0
0,0,5.7,4,0,7,1.54,65.27,0
1,29,8,3,0,4,2.16,56.07,0
0,0,10.9,6,0,4,2.94,60.48,0
0,0,11.6,1,0,9,3.13,38.6,0
0,0,7.5,1,0,3,2.03,55.2,0
0,0,9.1,0,0,4,2.46,60.4,0
0,0,8.4,0,0,11,2.27,66.92,0
0,0,11,0,0,9,2.97,64.49,0
0,0,10.7,0,0,3,2.89,38.94,0
0,0,7.7,0,0,3,2.08,45.07,0
0,0,14.1,1,0,3,3.81,61.2,0
1,23,10.4,1,0,7,2.81,56.46,0
0,0,6.5,3,0,4,1.76,64.59,0
0,0,8.5,1,0,5,2.3,40.23,0
0,0,3.6,1,0,5,0.97,62.97,0
1,42,7.6,3,0,7,2.05,60.89,0
1,32,10.6,2,1,6,2.86,41.1,0
